RH_Bin, Frequency
0, 0.59988
1, 0.041897
2, 0.0059804
3, 0.012386
4, 0.0060951
5, 0.0017467
7, 0.0048837
8, 0.0044035
9, 0.0059711
13, 0.0039171
15, 0.0078754
16, 0.0085988
17, 0.0024595
25, 0.0044952
29, 0.0075113
31, 0.0142
32, 0.0080482
33, 0.015742
49, 0.006092
57, 0.0081201
61, 0.011576
63, 0.016206
64, 0.012305
65, 0.0022331
97, 0.0070801
113, 0.0056102
121, 0.0090209
125, 0.0081201
127, 0.014872
128, 0.023748
129, 0.013585
193, 0.0073753
225, 0.012678
241, 0.013382
249, 0.02001
253, 0.019402
255, 0.03249
